"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"20-24 years";"H�rsholm";452;369
"2024M01";"20-24 years";"Rudersdal";1455;1077
"2024M01";"20-24 years";"Bornholm";668;593
"2024M01";"20-24 years";"Christians�";0;0
"2024M01";"20-24 years";"Region Sj�lland";21842;18904
"2024M01";"20-24 years";"Greve";1209;1071
"2024M01";"20-24 years";"K�ge";1688;1445
"2024M01";"20-24 years";"Lejre";598;531
"2024M01";"20-24 years";"Roskilde";2792;2682
"2024M01";"20-24 years";"Solr�d";539;456
"2024M01";"20-24 years";"Faxe";893;680
"2024M01";"20-24 years";"Guldborgsund";1461;1231
"2024M01";"20-24 years";"Holb�k";1888;1627
"2024M01";"20-24 years";"Kalundborg";1208;989
"2024M01";"20-24 years";"Lolland";849;671
"2024M01";"20-24 years";"N�stved";2375;2149
"2024M01";"20-24 years";"Odsherred";702;524
"2024M01";"20-24 years";"Ringsted";1030;892
"2024M01";"20-24 years";"Slagelse";2381;2209
"2024M01";"20-24 years";"Sor�";651;522
"2024M01";"20-24 years";"Stevns";477;375
"2024M01";"20-24 years";"Vordingborg";1101;850
"2024M01";"20-24 years";"Region Syddanmark";36457;33442
"2024M01";"20-24 years";"Assens";902;745
"2024M01";"20-24 years";"Faaborg-Midtfyn";1072;828
"2024M01";"20-24 years";"Kerteminde";469;416
"2024M01";"20-24 years";"Langeland";218;155
"2024M01";"20-24 years";"Middelfart";804;719
"2024M01";"20-24 years";"Nordfyns";638;507
"2024M01";"20-24 years";"Nyborg";736;581
"2024M01";"20-24 years";"Odense";10027;10831
"2024M01";"20-24 years";"Svendborg";1616;1263
"2024M01";"20-24 years";"�r�";100;80
"2024M01";"20-24 years";"Billund";733;582
"2024M01";"20-24 years";"Esbjerg";3390;3127
"2024M01";"20-24 years";"Fan�";43;31
"2024M01";"20-24 years";"Fredericia";1433;1270
"2024M01";"20-24 years";"Haderslev";1434;1221
"2024M01";"20-24 years";"Kolding";2762;2611
"2024M01";"20-24 years";"S�nderborg";2109;1516
"2024M01";"20-24 years";"T�nder";890;703
"2024M01";"20-24 years";"Varde";1187;1008
